rank	ru	en	pos
2635	пала'тка	tent, stall	Nf
2636	расшире'ние	expansion, spread	Nn
2637	закрича'ть	shout, cry	V
2638	отступа'ть	stand aside, step back,   retreat	V
2639	я'вный	evident	A
2640	воспи'тывать	train, bring up	V
2641	сало'н	salon	Nm
2642	лезть	climb	V
2643	великоле'пный	magnificent	A
2644	тепло'	warmth	Nn
2645	столе'тие	century, centenary	Nn
2646	вы'стрел	shot	Nm
2647	порожда'ть	produce	V
2648	го'лод	hunger	Nm
2649	костёр	bonfire, camp fire	Nm
2650	ключево'й	key	A
2651	победи'тель	winner	Nm
2652	доверя'ть	trust, confide in	V
2653	шкаф	wardrobe, cupboard	Nm
2654	траге'дия	tragedy	Nf
2655	филосо'фский	philosophical	A
2656	жанр	genre	Nm
2657	зи'мний	winter	A
2658	свяще'нный	sacred	A
2659	уезжа'ть	leave	V
2660	четве'рг	Thursday	Nm
2661	незави'симо	regardless	Adv
2662	жа'ловаться	complain	V
2663	холм	hill	Nm
2664	не'нависть	hatred	Nf
2665	вече'рний	evening	A
2666	фестива'ль	festival	Nm
2667	ко'пия	copy	Nf
2668	удовлетворе'ние	satisfaction	Nn
2669	когда'-нибудь	some day, ever	P
2670	у'зел	knot	Nm
2671	частота'	frequency, rate	Nf
2672	я'кобы	allegedly, supposedly	Part
2673	психо'лог	psychologist	Nm
2674	финанси'рование	financing, funding	Nn
2675	нигде'	nowhere, anywhere (double negatives)	P
2676	напада'ть	attack	V
2677	вред	harm, damage	Nm
2678	жа'лко	pitifully, it’s a pity	Adv
2679	непло'хо	not bad, okay	Adv
2680	идеоло'гия	ideology	Nf
2681	кома'ндование	command	Nn
2682	снижа'ть	reduce	V
2683	возбужда'ть	arouse, excite	V
2684	сжима'ть	grip	V
2685	убежде'ние	conviction	Nn
2686	вто'рник	Tuesday	Nm
2687	зва'ние	rank, title	Nn
2688	создава'ться	be created, arise, form	V
2689	непреме'нно	without fail	Adv
2690	жале'ть	regret	V
2691	обвине'ние	accusation	Nn
2692	христиа'нский	Christian	A
2693	литр	litre	Nm
2694	превыша'ть	exceed	V
2695	уче'бник	textbook	Nm
2696	недоста'точный	insufficient, not enough	A
2697	гото'вность	willingness	Nf
2698	высоко'	high(ly)	Adv
2699	ле'нта	tape, band	Nf
2700	лесно'й	forest	A
2701	исполня'ть	perform, do	V
2702	спу'тник	satellite, fellow traveller	Nm
2703	нагру'зка	load, activity	Nf
2704	зарубе'жный	foreign	A
2705	цепь	chain	Nf
2706	почита'ть	read, respect, worship	V
2707	ро'зовый	pink	A
2708	идеа'л	ideal	Nm
2709	благодари'ть	thank	V
2710	эпизо'д	episode	Nm
2711	сетево'й	network	A
2712	визи'т	visit	Nm
2713	о'рден	order	Nm
2714	парла'мент	parliament	Nm
2715	скала'	rock, cliff	Nf
2716	собо'р	cathedral	Nm
2717	коло'нна	column	Nf
2718	конте'кст	context	Nm
2719	танцева'ть	dance	V
2720	соревнова'ние	competition	Nn
2721	конкуре'нция	competition	Nf
2722	глу'пость	foolishness, nonsense	Nf
2723	городо'к	town	Nm
2724	иску'сственный	artificial	A
2725	эмоциона'льный	emotional	A
2726	ро'за	rose	Nf
2727	люби'тель	lover, amateur	Nm
2728	распределе'ние	distribution	Nn
2729	выпада'ть	fall, fall out	V
2730	исправля'ть	correct	V
2731	прили'чный	decent	A
2732	содержа'ться	contain	V
2733	обзо'р	(over)view	Nm
2734	прете'нзия	claim	Nf
2735	руба'шка	shirt	Nf
2736	корреспонде'нт	correspondent	Nm
2737	за'втрак	breakfast	Nm
2738	италья'нский	Italian	A
2739	нападе'ние	attack	Nn
2740	бар	bar	Nm
2741	тоска'	melancholy, boredom	Nf
2742	пе'нсия	pension	Nf
2743	тури'ст	tourist	Nm
2744	предъявля'ть	bring, show	V
2745	мо'да	fashion	Nf
2746	обижа'ться	be offended	V
2747	восстановле'ние	recovery	Nn
2748	рисова'ть	draw, paint	V
2749	разрабо'тчик	developer	Nm
2750	еди'нство	unity	Nn
2751	отрица'тельный	negative	A
2752	инве'стор	investor	Nm
2753	возникнове'ние	origin, start	Nn
2754	сте'нка	wall	Nf
2755	музыка'нт	musician	Nm
2756	повести'	lead, take	V
2757	мо'щность	power	Nf
2758	пье'са	play	Nf
2759	блестя'щий	shiny, brilliant	A
2760	десятиле'тие	decade	Nn
2761	изве'стие	news	Nn
2762	печа'льный	sad	A
2763	иностра'нец	foreigner	Nm
2764	экспеди'ция	expedition	Nf
2765	улучше'ние	improvement	Nn
2766	волнова'ться	worry, be nervous	V
2767	неизве'стно	unknown	Adv
2768	прогре'сс	progress	Nm
2769	цити'ровать	quote	V
2770	сле'ва	left	Adv
2771	я'блоко	apple	Nn
2772	короле'ва	queen	Nf
2773	по'яс	belt, zone	Nm
2774	ме'стность	area, locality	Nf
2775	квадра'тный	square	A
2776	заинтересова'ть	interest	V
2777	стару'ха	old woman	Nf
2778	аэродро'м	aerodrome, airfield	Nm
2779	нача'льный	initial	A
2780	вы'годный	favourable, profitable	A
2781	реаги'ровать	react	V
2782	дели'ться	divide, share	V
2783	сою'зник	ally	Nm
2784	торопи'ться	hurry, rush	V
2785	аэропо'рт	airport	Nm
2786	дисципли'на	discipline, subject	Nf
2787	А'зия	Asia	Nf
2788	миф	myth	Nm
2789	тра'нспортный	transport	A
2790	сокраще'ние	reduction, cut, abbreviation	Nn
2791	сапо'г	boot	Nm
2792	внача'ле	at first	Adv
2793	во'время	in time, on time	Adv
2794	ме'лочь	trifle, change, nothing	Nf
2795	кусо'чек	piece	Nm
2796	неплохо'й	not bad, decent	A
2797	свобо'дно	freely	Adv
2798	жа'лоба	complaint	Nf
2799	спра'ва	on the right	Adv
2800	конкуре'нт	competitor	Nm
2801	ма'ска	mask	Nf
2802	прозра'чный	transparent	A
2803	коро'ва	cow	Nf
2804	потребле'ние	consumption	Nn
2805	наста'ивать	insist	V
2806	ложи'ться	lie (down)	V
2807	освобожде'ние	release	Nn
2808	вынима'ть	take out	V
2809	напи'ток	drink	Nm
2810	двойно'й	double	A
2811	по'дпись	signature	Nf
2812	пи'сьменный	written	A
2813	применя'ться	be applied, be used	V
2814	матема'тика	mathematics	Nf
2815	густо'й	thick	A
2816	потре'боваться	be required, need	V
2817	инвестицио'нный	investment	A
2818	авторите'т	authority, criminal leader  (slang)	Nm
2819	отраже'ние	reflection, fending off	Nn
2820	мото'р	engine	Nm
2821	кремль	Kremlin, fortress	Nm
2822	по'льский	Polish	A
2823	небе'сный	heavenly	A
2824	измере'ние	measurement, dimension	Nn
2825	сту'дия	studio	Nf
2826	забо'титься	take care	V
2827	экологи'ческий	ecological	A
2828	моли'ться	pray	V
2829	предвари'тельный	preliminary, advance	A
2830	и'скренне	sincerely	Adv
2831	по'весть	story, novel	Nf
2832	компоне'нт	component, ingredient	Nm
2833	неве'ста	bride, fiancée	Nf
2834	пере'дний	front	A
2835	го'рдость	pride	Nf
2836	вклад	contribution, deposit	Nm
2837	наблюда'ться	be observed	V
2838	мета'лл	metal	Nm
2839	Русь	Rus’, Ancient Russia	Nf
2840	опла'чивать	pay	V
2841	подходя'щий	appropriate	A
2842	непра'вильный	wrong, irregular	A
2843	сопровожда'ть	accompany	V
2844	пребыва'ние	residence	Nn
2845	теорети'ческий	theoretical	A
2846	ложь	lie	Nf
2847	кра'ткий	brief	A
2848	катастро'фа	catastrophe, crash	Nf
2849	про'филь	profile	Nm
2850	справедли'вый	fair	A
2851	эксплуата'ция	exploitation, operation	Nf
2852	кварта'л	block of houses, quarter	Nm
2853	пожа'р	fire	Nm
2854	оконча'тельный	final	A
2855	головно'й	head	A
2856	налива'ть	pour	V
2857	подъём	ascent, rise	Nm
2858	чуде'сный	wonderful	A
2859	металли'ческий	metal	A
2860	уда'чный	successful	A
2861	стати'стика	statistics	Nf
2862	крити'ческий	critical	A
2863	проце'ссор	processor	Nm
2864	руль	steering wheel	Nm
2865	два'жды	twice	Adv
2866	негати'вный	negative	A
2867	во-пе'рвых	firstly	Adv
2868	уби'йца	killer	Nc
2869	шесто'й	sixth	Num
2870	пожило'й	elderly	A
2871	супру'г	spouse, husband	Nm
2872	наве'рх	up	Adv
2873	прогно'з	forecast	Nm
2874	собесе'дник	interlocutor	Nm
2875	свида'ние	date	Nn
2876	то'нна	tonne	Nf
2877	медве'дь	bear	Nm
2878	платфо'рма	platform	Nf
2879	са'хар	sugar	Nm
2880	эволю'ция	evolution	Nf
2881	пусты'ня	desert	Nf
2882	оригина'льный	original	A
2883	ме'бель	furniture	Nf
2884	оби'да	offence	Nf
2885	горизо'нт	horizon	Nm
2886	сочета'ние	combination	Nn
2887	арти'ст	artist, actor	Nm
2888	ча'шка	cup	Nf
2889	съезд	congress	Nm
2890	принц	prince	Nm
2891	спра'вка	certificate, statement, inquiry	Nf
2892	приобрете'ние	acquisition, purchase	Nn
2893	гра'фик	schedule, diagram, graph	Nm
2894	профессиона'л	professional	Nm
2895	фило'соф	philosopher	Nm
2896	гнев	anger	Nm
2897	захоте'ться	feel like	V
2898	ве'тка	branch	Nf
2899	отстава'ть	be behind	V
2900	сла'бость	weakness	Nf
2901	почто'вый	postal	A
2902	целико'м	entirely	Adv
2903	де'душка	grandfather	Nm
2904	кре'пость	fortress, strength	Nf
2905	церко'вный	church	A
2906	опро'с	survey, poll	Nm
2907	сла'дкий	sweet	A
2908	консульта'нт	consultant	Nm
2909	незави'симость	independence	Nf
2910	вылета'ть	depart, fly out	V
2911	свеча'	candle	Nf
2912	катало'г	catalogue	Nm
2913	доли'на	valley	Nf
2914	ствол	trunk	Nm
2915	невероя'тный	unbelievable	A
2916	зако'нный	legitimate	A
2917	целова'ть	kiss	V
2918	колле'кция	collection	Nf
2919	забо'р	fence, intake	Nm
2920	отча'яние	despair	Nn
2921	мгнове'нно	instantly	Adv
2922	пуга'ть	scare	V
2923	благода'рность	thanks, gratitude	Nf
2924	испуга'ться	get scared	V
2925	уси'ливать	strengthen, increase	V
2926	суро'вый	severe	A
2927	обыкнове'нный	ordinary	A
2928	награ'да	award	Nf
2929	я'рко	brightly	Adv
2930	проти'вный	nasty	A
2931	пресле'довать	pursue, persecute	V
2932	взаи'мный	mutual	A
2933	типи'чный	typical	A
2934	отрыва'ть	tear off, disturb, distract	V
2935	фо'то	photo	Nn
2936	установле'ние	establishment	Nn
2937	оппози'ция	opposition	Nf
2938	немно'жко	little	Adv
2939	гра'дус	degree	Nm
2940	демонстри'ровать	demonstrate, show	V
2941	таре'лка	plate, bowl	Nf
2942	предположе'ние	assumption	Nn
2943	ора'ть	bawl	V
2944	ступе'нь	step, stage	Nf
2945	молоде'ц	well done, great	Nm
2946	хране'ние	storage, safekeeping	Nn
2947	грози'ть	threaten	V
2948	изда'тельство	publishing house	Nn
2949	цифрово'й	digital	A
2950	экземпля'р	copy	Nm
2951	благоро'дный	noble	A
2952	неуда'ча	failure	Nf
2953	слома'ть	break	V
2954	муниципа'льный	municipal	A
2955	исто'рик	historian	Nm
2956	мра'чный	miserable	A
2957	те'сный	cramped, narrow, tight-fitting	A
2958	ядро'	centre, core	Nn
2959	пре'док	ancestor	Nm
2960	медици'на	medicine	Nf
2961	му'дрость	wisdom	Nf
2962	тяну'ться	stretch	V
2963	сокраща'ть	reduce	V
2964	виртуа'льный	virtual	A
2965	россия'нин	Russian	Nm
2966	сок	juice	Nm
2967	течь	flow, leak	V
2968	престу'пник	criminal	Nm
2969	волнова'ть	agitate	V
2970	расположе'ние	location, mood	Nn
2971	сере'бряный	silver	A
2972	ба'зовый	basic	A
2973	гро'мкий	loud	A
2974	слова'рь	dictionary	Nm
2975	ра'на	wound	Nf
2976	класть	put	V
2977	гига'нтский	gigantic	A
2978	электри'ческий	electric	A
2979	дурно'й	stupid, bad	A
2980	избира'тельный	electoral	A
2981	ка'федра	department	Nf
2982	блю'до	dish	Nn
2983	зака'зчик	customer	Nm
2984	посо'л	ambassador	Nm
2985	мышь	mouse	Nf
2986	вре'дный	harmful, evil	A
2987	стари'нный	ancient, old	A
2988	верёвка	rope, line	Nf
2989	по'за	pose	Nf
2990	волне'ние	excitement	Nn
2991	ла'па	paw	Nf
2992	глухо'й	deaf	N-
2993	руководи'ть	direct, be in charge	V
2994	тётя	aunt	Nf
2995	нра'вственный	moral	A
2996	размышле'ние	thought	Nn
2997	аккура'тно	carefully	Adv
2998	психи'ческий	psychic, mental	A
2999	беспоко'иться	worry	V
3000	математи'ческий	mathematical	A
3001	мука'	flour	Nf
3001	му'ка	torment	Nf
3002	закрытый	closed	A
3003	сро'чный	urgent	A
3004	архитекту'ра	architecture	Nf
3005	пры'гать	jump	V
3006	обы'чай	custom	Nm
3007	шко'льник	pupil	Nm
3008	всле'дствие	as a result of, due to	Prep
3009	хими'ческий	chemical	A
3010	ветера'н	veteran	Nm
3011	ла'мпа	lamp	Nf
3012	автомати'чески	automatically	Adv
3013	технологи'ческий	technological	A
3014	лице'нзия	licence	Nf
3015	жило'й	residential	A
3016	ошиба'ться	make a mistake	V
3017	мате'рия	matter, fabric	Nf
3018	прогу'лка	walk	Nf
3019	разры'в	gap	Nm
3020	пустота'	emptiness, space	Nf
3021	ужа'сно	terribly, really	Adv
3022	короле'вский	royal	A
3023	рискова'ть	risk	V
3024	образова'тельный	educational	A
3025	заме'на	replacement	Nf
3026	трениро'вка	training	Nf
3027	рассужда'ть	argue, talk	V
3028	ежедне'вный	daily	A
3029	мо'лодость	youth	Nf
3030	ю'мор	humour	Nm
3031	А'фрика	Africa	Nf
3032	мя'гко	softly, gently	Adv
3033	страхово'й	insurance	A
3034	твёрдо	firm(ly), stern(ly)	Adv
3035	комменти'ровать	comment	V
3036	боже'ственный	divine	A
3037	усто'йчивый	solid	A
3038	пригово'р	verdict	Nm
3039	пострада'ть	suffer, to be injured	V
3040	алкого'ль	alcohol	Nm
3041	диза'йн	design	Nm
3042	рассле'дование	investigation	Nn
3043	просмо'тр	viewing	Nm
3044	уничтоже'ние	destruction	Nn
3045	спа'льня	bedroom	Nf
3046	располага'ться	be (situated), make  oneself comfortable	V
3047	белору'сский	Belarusian	A
3048	попра'вка	correction	Nf
3049	про'за	prose	Nf
3050	поста'вка	delivery, supply	Nf
3051	сканда'л	scandal	Nm
3052	соотноше'ние	ratio	Nn
3053	краси'во	beautifully, nicely	Adv
3054	ад	hell	Nm
3055	логи'ческий	logical	A
3056	совпада'ть	coincide, concur	V
3057	нарисова'ть	draw	V
3058	одея'ло	blanket	Nn
3059	сумасше'дший	crazy	N-
3060	иссле'довать	research, explore, study	V
3061	мы'шца	muscle	Nf
3062	изобража'ть	represent, show	V
3063	укрепле'ние	strengthening	Nn
3064	поцелова'ть	kiss	V
3065	учёба	studies	Nf
3066	соверше'нный	advanced	A
3067	у'тренний	morning	A
3068	актуа'льный	of current interest, urgent	A
3069	всеми'рный	worldwide	A
3070	фа'брика	factory	Nf
3071	пеще'ра	cave	Nf
3072	тала'нтливый	talented	A
3073	монито'р	monitor	Nm
3074	энергети'ческий	power	A
3075	цветно'й	colour(ed)	A
3076	матч	match	Nm
3077	кида'ть	throw	V
3078	поду'шка	pillow	Nf
3079	вы'ше	higher	Adv
3080	препя'тствие	obstacle	Nn
3081	фона'рь	(street) light, black eye (slang)	Nm
3082	лифт	lift	Nm
3083	угова'ривать	persuade	V
3084	регуля'рно	regularly	Adv
3085	ука'занный	indicated	A
3086	департа'мент	department	Nm
3087	дли'ться	last	V
3088	подтвержде'ние	confirmation	Nn
3089	батаре'я	radiator, battery	Nf
3090	ба'нковский	bank	A
3091	волше'бный	magic	A
3092	седьмо'й	seventh	Num
3093	се'рвис	service	Nm
3094	производи'ться	be produced, be  manufactured	V
3095	флаг	flag	Nm
3096	посо'бие	benefit, aid, textbook	Nn
3097	приключе'ние	adventure	Nn
3098	запира'ть	lock	V
3099	коммунисти'ческий	communist	A
3100	му'дрый	wise	A
3101	бле'дный	pale	A
3102	доро'жка	road, path, way	Nf
3103	норма'льно	it is normal	Adv
3104	гаранти'ровать	ensure, guarantee	V
3105	неприя'тность	trouble	Nf
3106	внук	grandson	Nm
3107	посла'ние	message	Nn
3108	рассве'т	dawn	Nm
3109	пляж	beach	Nm
3110	че'тверть	quarter	Nf
3111	вор	thief	Nm
3112	хозя'йственный	household	A
3113	благода'рный	grateful	A
3114	недалеко'	near	Adv
3115	мо'дный	fashionable	A
3116	игрово'й	playing, game	A
3117	горди'ться	be proud	V
3118	спаса'ть	rescue	V
3119	железнодоро'жный	railway	A
3120	любопы'тство	curiosity	Nn
3121	кни'жный	book	A
3122	эли'та	elite	Nf
3123	предполага'ться	be supposed	V
3124	води'ть	drive, take	V
3125	оформле'ние	execution, design, processing	Nn
3126	по'двиг	feat	Nm
3127	ритм	rhythm	Nm
3128	заверше'ние	completion, finishing	Nn
3129	голосова'ние	voting, ballot	Nn
3130	о'тзыв	reference, feedback	Nm
3131	нерв	nerve	Nm
3132	пило'т	pilot	Nm
3133	иллю'зия	illusion	Nf
3134	ра'достный	happy	A
3135	христиани'н	Christian	Nm
3136	акаде'мик	academician	Nm
3137	выходно'й	day off, weekend	N-
3138	неви'димый	invisible	A
3139	тра'сса	track	Nf
3140	ге'ний	genius	Nm
3141	сплошно'й	continuous	A
3142	сты'дно	shameful	Adv
3143	здо'рово	great, quite	Adv
3144	социалисти'ческий	socialist	A
3145	угрожа'ть	threaten	V
3146	наибо'льший	most	A
3147	ры'жий	ginger	A
3148	ограни'ченный	restricted	A
3149	тя'жесть	weight	Nf
3150	бытово'й	everyday, household	A
3151	ра'звитый	developed	A
3152	запре'т	ban	Nm
3153	уголо'к	corner	Nm
3154	тре'нер	coach (sport)	Nm
3155	вы'года	benefit	Nf
3156	рок	fate, rock	Nm
3157	лечи'ть	treat	V
3158	москви'ч	Muscovite	Nm
3159	переры'в	break	Nm
3160	бассе'йн	pool	Nm
3161	напеча'тать	print, publish, type	V
3162	употребле'ние	use, application	Nn
3163	круго'м	around	Adv
3164	гроб	coffin	Nm
3165	мэр	mayor	Nm
3166	врать	lie	V
3167	каби'на	cabin, cockpit	Nf
3168	зая'вка	application	Nf
3169	кри'тик	critic	Nm
3170	проговори'ть	utter, spend time talking	V
3171	ку'ртка	jacket	Nf
3172	служе'бный	official	A
3173	внедре'ние	implementation	Nn
3174	бельё	linen, underwear	Nn
3175	носи'тель	carrier, digital media, native  speaker	Nm
3176	систе'мный	system	A
3177	обще'ственность	public, community	Nf
3178	милиционе'р	police officer	Nm
3179	чи'сленность	quantity, number	Nf
3180	валю'та	currency	Nf
3181	кла'дбище	cemetery	Nn
3182	дёшево	cheap	Adv
3183	улучша'ть	improve	V
3184	бюдже'тный	budgetary, state-financed	A
3185	ико'на	icon	Nf
3186	вчера'шний	yesterday	A
3187	ро'вный	even, stable	A
3188	после'довательность	sequence, order	Nf
3189	полице'йский	policeman	N-
3190	шути'ть	joke	V
3191	проте'ст	protest	Nm
3192	боти'нок	shoe	Nm
3193	уменьша'ть	reduce	V
3194	храни'ться	be stored, be kept	V
3195	две'сти	two hundred	Num
3196	показа'ние	indication, evidence	Nn
3197	уноси'ть	take away, carry away	V
3198	пове'сить	hang	V
3199	специа'льность	profession	Nf
3200	поса'дка	planting, landing	Nf
3201	холоди'льник	refrigerator	Nm
3202	шо'у	show	Nn
3203	тро'гать	touch	V
3204	копе'йка	kopeck	Nf
3205	повы'шенный	increased	A
3206	стих	poetry, verse	Nm
3207	голо'дный	hungry	N-
3208	закрыва'ться	close	V
3209	отча'сти	partly	Adv
3210	террори'ст	terrorist	Nm
3211	учи'лище	training school, institute	Nn
3212	любопы'тный	curious	A
3213	инвали'д	disabled	Nm
3214	подря'д	in a row	Adv
3215	чемода'н	suitcase	Nm
3216	приглаше'ние	invitation	Nn
3217	ро'ды	childbirth	N-
3218	пес	dog	Nm
3219	младе'нец	baby	Nm
3220	вслух	aloud	Adv
3221	подозре'ние	suspicion	Nn
3222	употребля'ть	use	V
3223	соблюда'ть	obey	V
3224	распространя'ться	spread, be   extended	V
3225	подъезжа'ть	drive up	V
3226	размышля'ть	reflect, think	V
3227	универса'льный	universal	A
3228	фрагме'нт	fragment, small part	Nm
3229	постано'вка	production, statement,  formulation	Nf
3230	цени'ть	appreciate, value	V
3231	дыра'	hole	Nf
3232	сраже'ние	battle	Nn
3233	бала'нс	balance	Nm
3234	уве'ренно	confidently	Adv
3235	мо'рда	snout	Nf
3236	ло'жный	false	A
3237	подва'л	basement, cellar	Nm
3238	привлека'тельный	attractive	A
3239	ви'за	visa	Nf
3240	за'нятый	busy	A
3241	э'хо	echo	Nn
3242	торгова'ть	trade, sell	V
3243	социали'зм	socialism	Nm
3244	хор	choir	Nm
3245	рука'в	sleeve	Nm
3246	а'томный	atomic	A
3247	разруше'ние	destruction	Nn
3248	настава'ть	come	V
3249	столо'вая	canteen, dining room	Nf
3250	верх	top	Nm
3251	шеф	boss	Nm
3252	посеще'ние	visit, attendance	Nn
3253	симпати'чный	attractive, nice	A
3254	выдаю'щийся	outstanding, eminent	A
3255	па'лка	stick	Nf
3256	плита'	stove, plate	Nf
3257	продава'ться	be on sale	V
3258	бровь	eyebrow	Nf
3259	атакова'ть	attack	V
3260	рай	heaven	Nm
3261	перево'дчик	translator	Nm
3262	равнове'сие	balance	Nn
3263	сле'дователь	investigator	Nm
3264	обеща'ние	promise	Nn
3265	секре'тный	secret	A
3266	посо'льство	embassy	Nn
3267	бесполе'зный	useless	A
3268	прие'зд	arrival	Nm
3269	быт	daily routine	Nm
3270	мастерска'я	workshop, repair shop	Nf
3271	прохо'д	passage	Nm
3272	подво'дный	underwater	A
3273	уча'щийся	student	Nm
3274	па'чка	packet, wad	Nf
3275	плани'рование	planning	Nn
3276	беспоко'ить	bother, concern	V
3277	Би'блия	Bible	Nf
3278	бизнесме'н	businessman	Nm
3279	части'чно	partially	Adv
3280	настро'йка	setting	Nf
3281	ветвь	branch	Nf
3282	неоднокра'тно	repeatedly,   several times	Adv
3283	производи'тельность	productivity	Nf
3284	догоня'ть	chase, catch up	V
3285	жу'ткий	terrible, spooky	A
3286	грамм	gram	Nm
3287	ничего'	nothing	Adv
3288	такси'	taxi	Nn
3289	треть	third	Nf
3290	райо'нный	district	A
3291	приве'тствовать	greet, welcome	V
3292	приде'рживаться	hold to, stick to	V
3293	засмея'ться	laugh	V
3294	плато'к	shawl	Nm
3295	улета'ть	fly away, leave	V
3296	кита'ец	Chinese man	Nm
3297	рак	crawfish, cancer	Nm
3298	вра'жеский	enemy	A
3299	программи'ст	programmer	Nm
3300	таи'нственный	mysterious	A
3301	охра'нник	guard	Nm
3302	коллекти'вный	collective, team	A
3303	футбо'л	football	Nm
3304	соль	salt	Nf
3305	вступле'ние	introduction, entry	Nn
3306	биологи'ческий	biological	A
3307	труди'ться	work	V
3308	ма'ксимум	maximum, the most	Nm
3309	поро'да	breed	Nf
3310	прекраща'ться	stop, expire	V
3311	отреза'ть	cut	V
3312	гру'стный	sad	A
3313	либера'льный	liberal	A
3314	шоссе'	motorway	Nn
3315	происше'ствие	incident	Nn
3316	чистота'	cleanliness, purity	Nf
3317	стуча'ть	hit, knock, snitch (slang)	V
3318	ку'рица	chicken	Nf
3319	бума'жный	paper	A
3320	но'жка	leg, foot	Nf
3321	подлежа'ть	be subject	V
3322	вы'плата	payment	Nf
3323	я'ма	pit	Nf
3324	плен	captivity	Nm
3325	сни'мок	picture	Nm
3326	соблюде'ние	compliance	Nn
3327	рожда'ться	be born	V
3328	ло'жка	spoon	Nf
3329	идио'т	idiot	Nm
3330	е'ле	hardly	Adv
3331	то'пливо	fuel	Nn
3332	ковёр	carpet, rug	Nm
3333	грома'дный	huge	A
3334	консульта'ция	consultation	Nf
3335	увели'чиваться	increase	V
3336	фина'л	end, final	Nm
3337	бессмы'сленный	senseless	A
3338	заме'тка	note, newspaper article	Nf
3339	галере'я	gallery	Nf
3340	по-друго'му	in a different way, differently	P
3341	счесть	consider	V
3342	сре'днее	average	Nn
3343	избира'тель	elector	Nm
3344	лете'ть	fly	V
3345	несча'стье	misfortune	Nn
3346	голосова'ть	vote	V
3347	жени'х	bridegroom, fiancé	Nm
3348	слы'шно	possible to hear, audibly	Adv
3349	ви'рус	virus	Nm
3350	моне'та	coin	Nf
3351	бу'рный	stormy	A
3352	пло'тный	thick	A
3353	фундамента'льный	fundamental	A
3354	жи'дкость	liquid	Nf
3355	автомати'ческий	automatic	A
3356	специфи'ческий	specific	A
3357	фина'нсы	finances	N-
3358	мыть	wash	V
3359	повлия'ть	influence, affect	V
3360	зага'дка	mystery, riddle	Nf
3361	заба'вный	funny	A
3362	охраня'ть	guard	V
3363	ма'гия	magic	Nf
3364	исполни'тель	performer, executor	Nm
3365	обши'рный	extensive	A
3366	прое'хать	drive, get to	V
3367	наслажда'ться	enjoy	V
3368	смешно'	funny	Adv
3369	автомоби'льный	car	A
3370	юри'ст	lawyer	Nm
3371	пропага'нда	propaganda	Nf
3372	аре'ст	arrest	Nm
3373	терпе'ние	patience	Nn
3374	мора'ль	morality	Nf
3375	дипло'м	diploma, degree	Nm
3376	цепо'чка	chain	Nf
3377	посторо'нний	strange, outside	A
3378	му'сор	rubbish	Nm
3379	разделе'ние	division	Nn
3380	ша'пка	cap, hat	Nf
3381	ро'бот	robot	Nm
3382	нефтяно'й	oil	A
3383	открове'нный	frank	A
3384	отбо'р	selection	Nm
3385	тари'ф	rate, price	Nm
3386	уста'лость	tiredness	Nf
3387	борода'	beard	Nf
3388	стару'шка	old woman	Nf
3389	защи'тник	defender	Nm
3390	полюби'ть	fall in love	V
3391	педаго'г	teacher	Nm
3392	выделя'ться	stand out	V
3393	и'скренний	sincere	A
3394	части'ца	particle	Nf
3395	сво'йственный	typical, common,  appropriate	A
3396	строи'тельный	construction	A
3397	звено'	link	Nn
3398	продемонстри'ровать	demonstrate,   show	V
3399	форма'льный	formal	A
3400	чуть-чу'ть	a little	Adv
3401	испо'ртить	spoil, ruin	V
3402	наслажде'ние	enjoyment	Nn
3403	пря'таться	hide	V
3404	худо'й	thin	A
3405	шок	shock	Nm
3406	банди'т	bandit	Nm
3407	бли'зость	closeness	Nf
3408	гости'ная	living room	Nf
3409	ту'ча	cloud	Nf
3410	популя'рность	popularity	Nf
3411	тур	round	Nm
3412	формирова'ться	be formed	V
3413	балко'н	balcony	Nm
3414	ви'деться	see	V
3415	бесе'довать	talk	V
3416	гита'ра	guitar	Nf
3417	ло'коть	elbow	Nm
3418	объясня'ться	explain	V
3419	позити'вный	positive	A
3420	ми'нус	minus	Nm
3421	споко'йствие	calm	Nn
3422	зажига'ть	light	V
3423	проще'ние	forgiveness	Nn
3424	выпускни'к	graduate	Nm
3425	обвиня'ть	accuse	V
3426	поцелу'й	kiss	Nm
3427	чемпиона'т	championship	Nm
3428	щит	shield	Nm
3429	действи'тельный	real, valid	A
3430	напряжённый	intensive, tense	A
3431	приз	prize	Nm
3432	отте'нок	shade	Nm
3433	со'бственник	owner	Nm
3434	доста'вка	delivery	Nf
3435	поступле'ние	receipt, enrolment	Nn
3436	регули'рование	regulation	Nn
3437	гипо'теза	hypothesis	Nf
3438	отъе'зд	departure	Nm
3439	коло'ния	colony	Nf
3440	кома'ндовать	command, be in charge	V
3441	пожале'ть	feel sorry	V
3442	размеще'ние	placement, deployment	Nn
3443	театра'льный	theatrical	A
3444	ра'нить	wound	V
3445	ви'део	video	Nn
3446	страхова'ние	insurance	Nn
3447	развлече'ние	entertainment	Nn
3448	ю'ность	youth	Nf
3449	пот	sweat	Nm
3450	надо'лго	for a long time	Adv
3451	посу'да	dishes	Nf
3452	принципиа'льный	of principle,  fundamental	A
3453	фаши'ст	fascist	Nm
3454	ва'нная	bathroom	Nf
3455	стре'лка	arrow, hand (of clock)	Nf
3456	проспе'кт	avenue	Nm
3457	турни'р	tournament	Nm
